run_id,question_id,experiment_type,benchmark_mode,question,ground_truth,generated_answer,f1_score,faithfulness,answer_relevancy,context_precision,context_recall,evaluation_source,evaluation_fallback_used,latency_ms,item_status,error_message,created_at
MAIN_FINETUNE_QWEN_V1,Q001,FINETUNE,FULL_PIPELINE,JPA là gì và có vai trò như thế nào trong các ứng dụng Java?,"JPA (Java Persistence API) là một đặc tả (specification) quản lý dữ liệu quan hệ trong các ứng dụng Java. Nó cung cấp các interface, annotation và framework ORM giúp đơn giản hóa quá trình tương tác với cơ sở dữ liệu bằng các phương pháp hướng đối tượng.",JPA (Java Persistence API) là một công cụ hỗ trợ quản lý đối tượng (Object-Relational Mapping - ORM) giúp hệ thống giao tiếp giữa cơ sở dữ liệu và hệ thống ứng dụng.,0.4938271604938272,0,0.8322272753086771,0,0,ragas-service:gemini,f,18100,COMPLETED,,2026-07-13 05:41:36.223981
MAIN_FINETUNE_QWEN_V1,Q002,FINETUNE,FULL_PIPELINE,Những lợi ích chính của việc sử dụng ORM là gì?,"Lợi ích của ORM bao gồm: Tăng năng suất (viết ít code hơn do ORM xử lý truy cập dữ liệu tầng thấp), cải thiện khả năng bảo trì (code sạch hơn, tập trung vào logic nghiệp vụ), tăng cường hiệu suất (tối ưu hóa truy cập và đệm dữ liệu), và độc lập với cơ sở dữ liệu (có thể đổi CSDL mà không cần viết lại nhiều code).",ORM (Object-Relational Mapping) giúp chuyển đổi dữ liệu từ cơ sở dữ liệu sang đối tượng lập trình và ngược lại một cách dễ dàng.,0.1894736842105263,0,0.7877434834183469,0,0,ragas-service:gemini,f,7454,COMPLETED,,2026-07-13 05:41:43.731626
MAIN_FINETUNE_QWEN_V1,Q003,FINETUNE,FULL_PIPELINE,Hibernate khác biệt như thế nào trong các framework ORM cho Java?,Hibernate là bản triển khai (implementation) JPA được sử dụng rộng rãi nhất. Nó cung cấp một bộ tính năng phong phú và các tùy chọn tùy chỉnh mở rộng so với các framework khác.,"Hibernate là một công cụ quản lý đối tượng (Object-Relational Mapping - ORM) được viết bằng ngôn ngữ Java. Hibernate giúp chuyển đổi dữ liệu từ cơ sở dữ liệu sang đối tượng Java và ngược lại, đồng thời hỗ trợ việc cập nhật, thêm, xóa các đối tượng trong hệ thống.",0.13953488372093026,0,0.7363520348416125,0,0,ragas-service:gemini,f,9516,COMPLETED,,2026-07-13 05:41:53.256382
MAIN_FINETUNE_QWEN_V1,Q004,FINETUNE,FULL_PIPELINE,EntityManager trong JPA có chức năng gì?,"EntityManager là interface cung cấp các phương thức để lưu trữ (persist), tìm kiếm (find), hợp nhất (merge) và xóa (remove) các thực thể (entities). Nó quản lý vòng đời thực thể, ngữ cảnh bền vững (persistence context), thực thi truy vấn và quản lý giao dịch.",EntityManager là lớp quản lý đối tượng đại diện cho một tập hợp các đối tượng được lưu trữ và cập nhật trên cơ sở phiên giao dịch.,0.2933333333333334,0,0.8026601474935471,0,0,ragas-service:gemini,f,11316,COMPLETED,,2026-07-13 05:42:04.58455
MAIN_FINETUNE_QWEN_V1,Q005,FINETUNE,FULL_PIPELINE,"Trong JPA, annotation @Entity và @Table khác nhau ở điểm nào?","@Entity dùng để đánh dấu một class Java là một thực thể, đại diện cho một bảng trong CSDL. Trong khi đó, @Table cho phép bạn chỉ định rõ tên cụ thể của bảng trong cơ sở dữ liệu mà thực thể đó sẽ ánh xạ tới.",@Entity là annotation dùng để chỉ định một đối tượng trong hệ thống quản lý đối tượng (EntityManager) phải được lưu trữ trên cơ sở vật lý của hệ thống.,0.2857142857142857,0,0.7640863372304517,0,0,ragas-service:gemini,f,11171,COMPLETED,,2026-07-13 05:42:15.77099
MAIN_FINETUNE_QWEN_V1,Q006,FINETUNE,FULL_PIPELINE,Kể tên các annotation định nghĩa mối quan hệ (Relationships) trong JPA.,"Các annotation định nghĩa mối quan hệ trong JPA bao gồm: @ManyToOne (nhiều - một), @OneToMany (một - nhiều), @OneToOne (một - một), và @ManyToMany (nhiều - nhiều).","Trong JPA, annotation định nghĩa mối quan hệ bao gồm:

1. @ManyToOne: Trạng thái này chỉ ra một đối tượng thuộc lớp con có thể liên kết với nhiều đối tượng thuộc lớp cha.

2. @OneToMany: Trạng thái này chỉ ra một đối tượng thuộc lớp con có thể liên kết với nhiều đối tượng thuộc lớp cha.

3. @OneToOne: Trạng thái này chỉ ra một đối tượng thuộc lớp con có duy nhất một đối tượng thuộc lớp cha.

4. @ManyToMany: Trạng thái này chỉ ra hai đối tượng có thể liên kết với nhau nhiều lần.",0.2622950819672131,0,0.8466460240154386,0,0,ragas-service:gemini,f,16247,COMPLETED,,2026-07-13 05:42:32.025966
MAIN_FINETUNE_QWEN_V1,Q007,FINETUNE,FULL_PIPELINE,Spring WebFlux khác biệt gì so với Spring MVC?,"Spring MVC là phương pháp tiếp cận truyền thống để xây dựng ứng dụng web, tổ chức theo kiến trúc Controller-Model-View. Spring WebFlux là phương pháp tiếp cận phản ứng (reactive), không chặn (non-blocking), dựa trên Project Reactor, rất hữu ích cho các kịch bản xử lý luồng dữ liệu và đồng thời cao.","Spring WebFlux là phiên bản mới của Spring Framework, tập trung vào việc xử lý giao tiếp web phản xạ (reactive) và sử dụng Reactive Streams để quản lý chuỗi câu hỏi trả lời.",0.29545454545454547,0,0.7916551318812806,0,0,ragas-service:gemini,f,8414,COMPLETED,,2026-07-13 05:42:40.448474
MAIN_FINETUNE_QWEN_V1,Q008,FINETUNE,FULL_PIPELINE,Tại sao nên sử dụng Spring Boot trong phát triển ứng dụng web?,"Spring Boot đơn giản hóa quá trình tạo ra các ứng dụng độc lập, cấp độ sản xuất. Nó cung cấp phương pháp tiếp cận 'quy ước hơn cấu hình' (convention-over-configuration), giảm thiểu việc thiết lập và các code lặp lại (boilerplate code), giúp phát triển ứng dụng nhanh chóng.","Spring Boot là một công cụ hỗ trợ phát triển nhanh ứng dụng web dựa trên kiến trúc Spring. Nó giúp giảm bớt lượng code cần thiết để cấu hình cơ sở hạ tầng, dễ dàng tạo ra các ứng dụng web đáp ứng yêu cầu của khách hàng.",0.3434343434343435,0,0.7416426786815172,0,0,ragas-service:gemini,f,10586,COMPLETED,,2026-07-13 05:42:51.042273
MAIN_FINETUNE_QWEN_V1,Q009,FINETUNE,FULL_PIPELINE,Thymeleaf là gì và mục tiêu chính của nó là gì?,"Thymeleaf là một template engine phía máy chủ dựa trên Java, có khả năng xử lý HTML, XML, JavaScript, CSS và văn bản thuần túy. Mục tiêu chính của nó là cung cấp một cách tinh tế và dễ bảo trì để tạo các mẫu, cải thiện giao tiếp và thu hẹp khoảng cách giữa đội ngũ thiết kế và phát triển.","Thymeleaf là một công cụ mã nguồn mở để tạo ra các trang web sử dụng HTML5, CSS3 và JavaScript. Tham số cấu hình này giúp cải thiện hiệu suất tải trang, tăng tốc độ phản hồi và tối ưu hóa tài liệu.",0.1904761904761905,0,0.7690231805353709,0,0,ragas-service:gemini,f,14423,COMPLETED,,2026-07-13 05:43:05.478633
MAIN_FINETUNE_QWEN_V1,Q010,FINETUNE,FULL_PIPELINE,Chế độ template HTML và XML trong Thymeleaf khác nhau như thế nào về mặt cú pháp?,"Chế độ HTML cho phép bất kỳ loại đầu vào HTML nào (HTML5, HTML4) mà không kiểm tra tính hợp lệ (well-formedness). Chế độ XML yêu cầu mã phải được định dạng chuẩn (well-formed) – không có thẻ chưa đóng hoặc thuộc tính không có dấu nháy, nếu vi phạm parser sẽ báo lỗi.","Tham số cấu hình của Thymeleaf dùng để định nghĩa cấu trúc cơ sở dữ liệu (database) mà hệ thống sẽ truy xuất, lấy tài liệu học tập.",0.07407407407407407,0,0.6833997954194314,0,0,ragas-service:gemini,f,10778,COMPLETED,,2026-07-13 05:43:16.268588
